Total rows: 238

monitor_id | descripcion | marca | sub_familia | grupo_comparable | ultimo_pvp | ultima_fecha
------------------------------------------------------------------------------------------------------------------------
218 | Mayonesa CAÑUELAS 250 g | CAÑUELAS | Condimentos | NULL | 215 | 2026-05-18
285 | Salsa de Soja HEINZ Premium 150 g | HEINZ | Condimentos | NULL | 345 | 2026-05-18
103 | Tapa empanadas AVANTI horno copetín 24 un. | AVANTI | Copetin | 1 | 194 | 2026-05-31
112 | Tapas para Empanadas LA ESPECIALISTA Copetín 24 Unidades | LA ESPECIALISTA | Copetin | 1 | 194 | 2026-05-31
376 | Empanada TIENDA INGLESA Capresse (1 un.) | TIENDA INGLESA | Empanadas x 1 | NULL | 99 | 2026-05-31
369 | Empanada TIENDA INGLESA Carne Suave (1 un.) | TIENDA INGLESA | Empanadas x 1 | NULL | 99 | 2026-05-31
373 | Empanada TIENDA INGLESA Jamón y Queso (1 un.) | TIENDA INGLESA | Empanadas x 1 | NULL | 99 | 2026-05-31
358 | Empanada TIENDA INGLESA Pollo (1 un.) | TIENDA INGLESA | Empanadas x 1 | NULL | 99 | 2026-05-31
380 | Empanada TIENDA INGLESA Queso y Cebolla (1 un.) | TIENDA INGLESA | Empanadas x 1 | NULL | 99 | 2026-05-31
379 | Empanadas BLÉ Jamón y Queso y Carne Horneadas y Congeladas (10 un.) | BLÉ | Empanadas x 10 | NULL | 720 | 2026-05-31
104 | Tapa empanadas AVANTI caseras x 15 un. 437 g | AVANTI | Empanadas x 12 | 1 | 150 | 2026-05-31
93 | Tapas para Empanadas Hojaldradas AVANTI 15 Unidades | AVANTI | Empanadas x 12 | 1 | 150 | 2026-05-31
126 | Tapas para Empanadas Light sin Hojaldrar AVANTI 12 Unidades | AVANTI | Empanadas x 12 | 3 | 196 | 2026-05-31
99 | Tapa empanadas LA ESPECIALISTA caseras x 15 un. 530 g | LA ESPECIALISTA | Empanadas x 12 | 1 | 179 | 2026-05-31
98 | Tapa empanadas LA ESPECIALISTA hojaldradas x 15 un. 530 g | LA ESPECIALISTA | Empanadas x 12 | 1 | 179 | 2026-05-31
125 | Tapas para Empanadas LA ESPECIALISTA Calabaza y Zanahoria (12 un.) | LA ESPECIALISTA | Empanadas x 12 | 5 | 225 | 2026-05-31
254 | Tapas para Empanadas Hojaldradas TIENDA INGLESA 12 Unidades | TIENDA INGLESA | Empanadas x 12 | NULL | 159 | 2026-05-31
111 | Tapas para Empanadas Hojaldradas TIENDA INGLESA 12 Unidades | TIENDA INGLESA | Empanadas x 12 | NULL | 159 | 2026-05-31
360 | Empanadas de Carne sin Gluten HELIX 2 Unidades | HELIX | Empanadas x 2 | NULL | 244 | 2026-05-31
370 | Empanadas de Jamón y Queso sin Gluten HELIX 2 Unidades | HELIX | Empanadas x 2 | 3 | 244 | 2026-05-31
122 | Tapa empanadas AVANTI horno 20 un. | AVANTI | Empanadas x 20 | 1 | 223 | 2026-05-31
253 | Tapa empanadas AVANTI horno 20 un. | AVANTI | Empanadas x 20 | 1 | 223 | 2026-05-31
96 | Tapas para Empanadas Tipo Casera AVANTI x 20 Tapas 600 gr | AVANTI | Empanadas x 20 | 1 | 223 | 2026-05-31
109 | Tapas para Empanadas Tipo Casera AVANTI x 20 Tapas 600 gr | AVANTI | Empanadas x 20 | 1 | 223 | 2026-05-31
97 | Tapa empanadas LA ESPECIALISTA caseras 20 un. 720 g | LA ESPECIALISTA | Empanadas x 20 | 1 | 236 | 2026-05-31
255 | Tapas para Empanadas LA ESPECIALISTA Hojaldre 20 Unidades | LA ESPECIALISTA | Empanadas x 20 | 1 | 236 | 2026-05-31
124 | Tapas para Empanadas LA ESPECIALISTA Hojaldre 20 Unidades | LA ESPECIALISTA | Empanadas x 20 | 1 | 236 | 2026-05-31
118 | Tapas para Empanadas Hojaldradas TIENDA INGLESA 20 Unidades | TIENDA INGLESA | Empanadas x 20 | NULL | 201 | 2026-05-31
101 | Tapas para Empanadas Hojaldradas TIENDA INGLESA 20 Unidades | TIENDA INGLESA | Empanadas x 20 | NULL | 201 | 2026-05-31
120 | Tapas para Empanadas Tipo Casera TIENDA INGLESA 20 Unidades | TIENDA INGLESA | Empanadas x 20 | 2 | 201 | 2026-05-31
128 | Tapas para Empanadas Tipo Casera TIENDA INGLESA 20 Unidades | TIENDA INGLESA | Empanadas x 20 | 2 | 201 | 2026-05-31
361 | Empanadas de Jamón y Queso PAGNIFIQUE x 3 Unidades | PAGNIFIQUE | Empanadas x 3 | NULL | 205 | 2026-05-31
372 | Empanadas de Jamón y Queso PAGNIFIQUE x 3 Unidades | PAGNIFIQUE | Empanadas x 3 | NULL | 205 | 2026-05-31
375 | Empanadas de Carne TIENDA INGLESA (6 un.) 420 g | TIENDA INGLESA | Empanadas x 6 | NULL | 397 | 2026-05-31
365 | Empanadas de Carne TIENDA INGLESA (6 un.) 420 g | TIENDA INGLESA | Empanadas x 6 | NULL | 397 | 2026-05-31
381 | Empanadas de Espinaca y Queso TIENDA INGLESA (6 un.) 420 g | TIENDA INGLESA | Empanadas x 6 | NULL | 397 | 2026-05-31
366 | Empanadas de Espinaca y Queso TIENDA INGLESA (6 un.) 420 g | TIENDA INGLESA | Empanadas x 6 | NULL | 397 | 2026-05-31
377 | Empanadas de Jamón y Queso TIENDA INGLESA (6 un.) 420 g | TIENDA INGLESA | Empanadas x 6 | NULL | 397 | 2026-05-31
378 | Empanadas de Jamón y Queso TIENDA INGLESA (6 un.) 420 g | TIENDA INGLESA | Empanadas x 6 | NULL | 397 | 2026-05-31
